question,options,answer,category,difficulty,explication
"Quel fichier Composer permet d’installer une librairie en la téléchargeant depuis le dépôt officiel ?",1) composer fetch vendor/package | 2) composer add vendor/package | 3) composer install vendor/package | 4) composer require vendor/package,4,Fondamentaux Web,Facile,"La commande `composer require vendor/package` est la méthode standard pour ajouter une nouvelle dépendance à un projet. Elle résout les contraintes, télécharge la librairie, met à jour le fichier `composer.json` pour l'inclure comme dépendance, et met à jour le fichier `composer.lock`."
"Quel fichier permet de définir les routes personnalisées dans un module Drupal 11 ?",1) nom_module.routing.yml | 2) nom_module.routes.yml | 3) nom_module.menu.yml | 4) nom_module.links.yml,1,Drupal Core API,Facile,"Dans Drupal, le système de routage utilise un fichier YAML pour définir les routes (URLs), les contrôleurs associés et les conditions d'accès. Ce fichier doit obligatoirement être nommé `[nom_du_module].routing.yml` et placé à la racine du module."
"Dans Form API, quel élément permet de déclarer un champ de texte dans un formulaire ?",1) #type => 'textfield' | 2) #type => 'input' | 3) #form => 'text' | 4) #element => 'textfield',1,Drupal Core API,Facile,"L'API de formulaire (Form API) de Drupal utilise des 'render arrays' pour construire les formulaires. La clé `#type` spécifie le type d'élément de formulaire à rendre. La valeur `'textfield'` correspond à un champ de saisie de texte standard (`<input type=""""text"""">`)."
"Quel est l’ordre correct des commandes pour créer un commit et pousser le code ?","1) git push, git add, git commit | 2) git commit, git push, git add | 3) git add, git commit, git push | 4) git commit, git push, git pull",3,Fondamentaux Web,Facile,"Le processus standard avec Git est : 1. `git add` pour ajouter les fichiers modifiés à la zone de 'staging'. 2. `git commit` pour enregistrer les modifications de la zone de staging dans l'historique local. 3. `git push` pour envoyer les commits locaux vers le dépôt distant."
"Quelle classe permet de charger un noeud dans Drupal ?","1) Node::get($nid) | 2) EntityManager::getNode($nid) | 3) Node::load($nid) | 4) Drupal::load('node', $nid)",3,Drupal Core API,Facile,"La méthode statique `load()` de la classe `\Drupal\node\Entity\Node` est la manière standard et correcte pour charger une entité de type nœud par son identifiant (ID)."
"Quelle méthode est utilisée pour afficher une variable de manière lisible dans les logs de Drupal ?","1) debug_log($var) | 2) drupal_set_message($var) | 3) kint($var) | 4) \Drupal::logger('custom')->debug('<pre>@data</pre>', ['@data' => print_r($var, TRUE)])",4,Débogage,Moyen,"Le service 'logger' de Drupal est la méthode standard pour enregistrer des informations dans les logs. Utiliser `print_r($var, TRUE)` permet de convertir une variable complexe (comme un tableau ou un objet) en une chaîne de caractères lisible qui peut ensuite être passée au logger."
"Quelle syntaxe Twig affiche une variable dans un template ?",1) {{ variable }} | 2) %% variable %% | 3) [[ variable ]] | 4) @variable@,1,Thème,Facile,"Twig, le moteur de template de Drupal, utilise la syntaxe `{{ ma_variable }}` pour afficher le contenu d'une variable. Cette syntaxe échappe automatiquement les caractères HTML pour des raisons de sécurité."
"Quelle balise est utilisée dans le rendu pour bénéficier du cache statique dans un render array ?",1) #static_cache | 2) #cache | 3) #persist | 4) #render_cache,2,Performance,Moyen,"La clé `#cache` dans un 'render array' permet de définir les métadonnées de mise en cache, telles que les 'tags', les 'contexts' et l'âge maximum ('max-age'), qui déterminent la validité et la mise en cache de l'élément rendu."
Quelle fonction est utilisée pour échapper du texte avant l'affichage ?,1) escape() | 2) Html::escape() | 3) Secure::render() | 4) Drupal::sanitize(),2,Sécurité,Facile,"La classe `\Drupal\Component\Utility\Html` fournit la méthode statique `escape()` qui est la méthode recommandée pour échapper du texte brut afin de prévenir les attaques XSS avant de l'afficher en HTML."
"Quel outil est recommandé pour suivre les bonnes pratiques de codage Drupal ?",1) drupal-linter | 2) phpcs avec Drupal Coding Standards | 3) drush check | 4) phpcheck,2,Communauté,Facile,"PHP CodeSniffer (`phpcs`) combiné avec le standard de codage Drupal (`Drupal Coding Standards`) est l'outil de référence pour analyser le code PHP et s'assurer qu'il respecte les normes et bonnes pratiques de la communauté Drupal."
